"","Provider.ID","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score"
"938",110025,"0.632","0.505","1.586","0.92","0.237","0.584","3.1","1.02"
"939",110026,NA,NA,NA,NA,NA,"0",NA,"0.88"
"940",110027,NA,"0",NA,NA,NA,"0.348",NA,"0.70"
"941",110028,"0.609","0.61","0.758","1.165","0.641","0.953","2.2","0.57"
"942",110029,"0.156","0.466","2.577","1.355","0.965","0.931","1.7","0.86"
"943",110030,"0.669","0.644","0.56",NA,"1.505","1.113","3.5","0.77"
"944",110031,"0.753","1.128","2.166",NA,"0.812","0.717","3.3","0.69"
"945",110032,"0","0.672",NA,NA,NA,"2.025","3.2","1.03"
"946",110034,"0.818","0.896","2.933","2.556","0.971","0.918","3.3","1.18"
"947",110035,"0.708","0.45","1.481","0.311","0.84","1.099","3.1","0.98"
"948",110036,"0.409","0.95","0.895","1.564","1.008","0.927","2.4","1.30"
"949",110038,"0.529","0.5","0.8",NA,"1.554","0.777","3.1","0.76"
"950",110039,"0.545","0.655",NA,"0.739",NA,"0.715","3.4","0.80"
"951",110040,NA,"0",NA,NA,NA,"0.597",NA,"0.92"
"952",110041,"1.942","0.237",NA,NA,NA,"1.083","3.0","0.96"
"953",110042,"0","0","1.527",NA,NA,"1.453","3.4","0.97"
"954",110043,"0.299","0.638","0",NA,"1.005","0.975","2.3","1.15"
"955",110044,"2.414","0.214","1.994",NA,NA,"0.606","3.8","0.93"
"956",110045,NA,"0",NA,NA,NA,"0.664",NA,"0.83"
"957",110046,"0.867","0",NA,NA,NA,"0.86","2.9","1.36"
"958",110050,NA,NA,NA,NA,NA,NA,NA,"0.89"
"959",110051,NA,"0",NA,NA,NA,"0.725","3.4","0.84"
"960",110054,"0.451","0.449","1.509","0.572","0.403","0.396","2.9","0.79"
"961",110064,"1.595","1.694","1.113","0.643","1.699","0.945",NA,"1.02"
"962",110069,"0.322","0.416","0","0.887","0.71","0.682","5.0","0.69"
"963",110071,NA,NA,NA,NA,NA,NA,NA,"0.86"
"964",110073,NA,NA,NA,NA,NA,"0",NA,"1.00"
"965",110074,"0.28","0.414","1.232","0.506","1.058","1.073","3.8","1.11"
"966",110075,"0.202","0.09","0","0","0.642","0.923","3.1","0.83"
"967",110076,"0","0.532","2.328","1.935","0.974","0.953","2.2","0.96"
"968",110078,"0.928","0.77","0.407","1.218","1.063","1.189","2.8","1.32"
"969",110079,"0.987","0.701","1.492","3.59","0.98","0.767",NA,"1.55"
"970",110082,"0.558","1.221","1.066",NA,"1.263","1.306","1.6","0.99"
"971",110083,"0.939","0.813","1.618","1.945","1.695","0.936","3.5","1.41"
"972",110086,NA,NA,NA,NA,NA,"0.927",NA,"0.85"
"973",110087,"0.596","0.652","1.883","1.456","0.953","0.952","3.8","0.93"
"974",110089,"0.839","0.187","0.746",NA,"0","0.388","3.2","0.72"
"975",110091,"0.273","0.537","1.279","0","2.45","1.118","3.4","0.85"
"976",110092,NA,"0",NA,NA,NA,"0.203",NA,"0.91"
"977",110095,"0.513","0.878","0.587",NA,"0.519","0.722","4.3","0.93"
"978",110100,NA,NA,NA,NA,NA,"0",NA,"0.89"
"979",110101,NA,NA,NA,NA,NA,NA,NA,"0.90"
"980",110104,"1.043","0.884",NA,NA,"1.985","0.846",NA,"0.98"
"981",110105,"0.146","0.312","0",NA,NA,"0.421","3.3","1.02"
"982",110107,"1.077","1.035","1.216","1.716","2.167","0.852","3.1","0.87"
"983",110109,NA,NA,NA,NA,NA,"0",NA,"0.87"
"984",110111,NA,NA,NA,NA,NA,NA,"3.6","0.79"
"985",110113,NA,NA,NA,NA,NA,NA,NA,"0.90"
"986",110115,"1.219","1.699","0",NA,"1.444","0.801","3.0","1.03"
"987",110121,"1.599","1.663",NA,NA,NA,"0.198",NA,"0.98"
"988",110122,"0.051","0.333","0","1.294","1.11","0.933","3.3","0.58"
"989",110124,"0.752","0.358","0",NA,NA,"0.392","3.5","0.92"
"990",110125,"0","0.261",NA,"0","1.823","1.55","2.6","0.72"
"991",110128,"0.633","0.765","1.224",NA,NA,"1.024","3.4","1.24"
"992",110129,"1","0.51","0.748",NA,"0.259","1","2.6","0.91"
"993",110130,NA,NA,NA,NA,NA,"0",NA,"0.87"
"994",110132,NA,NA,NA,NA,NA,"0.678","3.0","0.81"
"995",110135,NA,NA,NA,NA,NA,"0.514","3.7","1.05"
"996",110142,NA,NA,NA,NA,NA,NA,NA,"0.88"
"997",110143,"0.126","0.565","0.733","0.203","1.201","1.137","2.8","1.09"
"998",110146,NA,NA,NA,NA,NA,"0.27","3.4","0.75"
"999",110150,"0.381","0.635",NA,NA,"0","1.476","3.3","0.91"
"1000",110153,"0","0",NA,NA,NA,"0.155","4.2","0.87"
"1001",110161,"0.163","0.397","0.634","0.59","0.359","0.744","2.3","0.97"
"1002",110164,"1.221","0.567","0.817","0.518","2.868","1.172",NA,"0.83"
"1003",110165,"0.637","0.949","0.781","1.456",NA,NA,"2.8","0.89"
"1004",110168,"0.302","0.358","0.934",NA,"2.537","0.865","3.9","0.72"
"1005",110177,"0.84","0.403","0","0","4.462","0.663","3.2","1.03"
"1006",110184,"0","0.476","1.826",NA,"0","1.319","2.8","0.94"
"1007",110187,NA,"1.596",NA,NA,NA,"0","3.6","0.85"
"1008",110189,NA,"0",NA,NA,NA,"0","3.1","0.87"
"1009",110190,NA,NA,NA,NA,NA,"0",NA,"0.90"
"1010",110191,"0.576","0.441","1.418","0","4.597","0.684","3.0","0.74"
"1011",110192,"0.219","0.579","1.289","0","3.874","0.843","3.3","0.70"
"1012",110194,NA,NA,NA,NA,NA,"0",NA,"0.82"
"1013",110198,"0.409","0.682",NA,NA,"0.636","0.578","2.9","1.07"
"1014",110200,NA,NA,NA,NA,NA,"0.352","3.5","0.71"
"1015",110201,"0","0.304",NA,NA,NA,"0.526","2.8","0.68"
"1016",110205,NA,NA,NA,NA,NA,NA,NA,"0.89"
"1017",110209,NA,NA,NA,NA,NA,"0.098",NA,"0.66"
"1018",110215,"0.444","0.095","0.654","0.66","1.259","0.749","3.6","1.04"
"1019",110225,"1.436","0","0",NA,NA,"1.298","2.8","0.84"
"1020",110226,"0.371","0.608","0.791",NA,"0.933","0.454",NA,"1.06"
"1021",110229,"0.333","0.498","1.505",NA,"0.602","0.615","2.5","0.82"
"1022",110230,"0.925","0.903","0","0","0.685","1.25","3.5","0.98"
"1023",110233,"0.545","0.779","3.915","1.268","2.586","1.599",NA,"1.08"
"1024",110234,NA,NA,NA,NA,NA,"0",NA,"0.90"
"1025",111300,NA,NA,NA,NA,NA,NA,NA,NA
"1026",111302,NA,NA,NA,NA,NA,"0",NA,NA
"1027",111303,NA,NA,NA,NA,NA,NA,NA,NA
"1028",111304,NA,NA,NA,NA,NA,NA,NA,NA
"1029",111305,NA,NA,NA,NA,NA,NA,NA,NA
"1030",111306,NA,NA,NA,NA,NA,NA,NA,NA
"1031",111308,NA,NA,NA,NA,NA,NA,NA,NA
"1032",111310,NA,NA,NA,NA,NA,NA,NA,NA
"1033",111311,NA,NA,NA,NA,NA,NA,NA,NA
"1034",111312,NA,NA,NA,NA,NA,NA,NA,NA
"1035",111313,NA,NA,NA,NA,NA,"1.65",NA,NA
"1036",111314,NA,NA,NA,NA,NA,NA,NA,NA
"1037",111316,NA,NA,NA,NA,NA,NA,NA,NA
"1038",111318,NA,NA,NA,NA,NA,NA,NA,NA
"1039",111319,NA,NA,NA,NA,NA,NA,NA,NA
"1040",111320,NA,"0",NA,NA,NA,"0.338",NA,NA
"1041",111323,NA,NA,NA,NA,NA,NA,"2.3",NA
"1042",111324,NA,NA,NA,NA,NA,NA,NA,NA
"1043",111325,NA,NA,NA,NA,NA,NA,NA,NA
"1044",111326,NA,NA,NA,NA,NA,NA,NA,NA
"1045",111327,NA,NA,NA,NA,NA,NA,"3.2",NA
"1046",111328,NA,NA,NA,NA,NA,NA,NA,NA
"1047",111329,NA,NA,NA,NA,NA,NA,"3.3",NA
"1048",111330,NA,NA,NA,NA,NA,NA,NA,NA
"1049",111331,NA,NA,NA,NA,NA,NA,NA,NA
"1050",111332,NA,NA,NA,NA,NA,NA,NA,NA
"1051",111333,NA,NA,NA,NA,NA,NA,NA,NA
"1052",111334,NA,NA,NA,NA,NA,NA,NA,NA
"1053",111335,NA,NA,NA,NA,NA,NA,NA,NA
"1054",111336,NA,NA,NA,NA,NA,NA,NA,NA
"1055",113300,NA,NA,NA,NA,NA,NA,NA,NA
"1056",113301,NA,NA,NA,NA,NA,NA,NA,NA
"1057",120001,"0.126","0.326","0.944","0","0.522","0.663","3.0","1.04"
"1058",120002,"0.196","1.376","0.673",NA,"0.876","0.763",NA,"0.85"
"1059",120004,"1.048","0.494",NA,NA,NA,"0.483",NA,"1.00"
"1060",120005,"0","0.09","0.617",NA,"0","0.08","3.4","0.63"
"1061",120006,"0.099","0","1.905",NA,"0","0.333","3.5","0.99"
"1062",120007,"0.422","1.4","0",NA,"2.061","0.985","2.6","0.79"
"1063",120011,"0.038","0.22","0.405","1.509","0.586","0.647",NA,"1.05"
"1064",120014,"0.446","0.624","3.322",NA,NA,"0.735","3.3","0.77"
"1065",120019,"0.52","1.832",NA,NA,"0","0.219",NA,"0.75"
"1066",120022,"0.096","0.446","0",NA,"0.49","0.911","2.6","0.74"
"1067",120026,"0.701","0.155","1.357",NA,"0.586","0.682",NA,"0.83"
"1068",120028,NA,"0.807",NA,NA,NA,"0.412","3.0","1.00"
"1069",121300,NA,NA,NA,NA,NA,"0.173",NA,NA
"1070",121301,NA,NA,NA,NA,NA,NA,NA,NA
"1071",121302,NA,NA,NA,NA,NA,NA,NA,NA
"1072",121303,NA,NA,NA,NA,NA,NA,NA,NA
"1073",121304,NA,NA,NA,NA,NA,NA,NA,NA
"1074",121305,NA,NA,NA,NA,NA,NA,NA,NA
"1075",121306,NA,NA,NA,NA,NA,NA,NA,NA
"1076",121307,NA,NA,NA,NA,NA,NA,NA,NA
"1077",121308,NA,NA,NA,NA,NA,NA,NA,NA
"1078",123300,NA,NA,NA,NA,NA,NA,NA,NA
"1079",123301,NA,NA,NA,NA,NA,NA,NA,NA
"1080",130002,"0.323","0","0.71",NA,"0","0.388","2.5","0.91"
"1081",130003,"0.8","0.353","0",NA,NA,"0.787","3.0","0.96"
"1082",130006,"0.21","0.508","1.452","0","0.602","0.947","2.9","0.72"
"1083",130007,"0.824","0.769","1.63","0.414","0.193","0.472","3.0","1.12"
"1084",130013,"0.553","0.346","1.522",NA,NA,"0.971","3.2","0.70"
"1085",130014,"1.718","0","0.814",NA,NA,"0.299","3.1","0.70"
"1086",130018,"0.215","0.284","0",NA,"0.417","0.73","3.2","0.75"
"1087",130025,NA,"0","0.75",NA,NA,"0.976","3.3","1.01"
"1088",130028,"0.441","0.957","0",NA,"1.517","1.047","3.5","0.88"
"1089",130049,"0.171","0.216","1.489",NA,"0","1.069","2.8","0.75"
"1090",130063,NA,NA,NA,NA,NA,NA,NA,"0.86"
"1091",130065,NA,"0",NA,NA,NA,"0","4.0","0.88"
"1092",130066,NA,NA,NA,NA,NA,"0.876","2.9","0.92"
"1093",130067,NA,NA,NA,NA,NA,NA,NA,"0.90"
"1094",131301,NA,NA,NA,NA,NA,NA,NA,NA
"1095",131302,NA,NA,NA,NA,NA,NA,NA,NA
"1096",131303,NA,NA,NA,NA,NA,NA,NA,NA
"1097",131304,NA,NA,NA,NA,NA,NA,NA,NA
"1098",131305,NA,NA,NA,NA,NA,NA,"2.8",NA
"1099",131307,NA,NA,NA,NA,NA,NA,"2.6",NA
"1100",131308,NA,NA,NA,NA,NA,NA,NA,NA
"1101",131309,NA,NA,NA,NA,NA,NA,NA,NA
"1102",131310,NA,NA,NA,NA,NA,NA,NA,NA
"1103",131311,NA,NA,NA,NA,NA,NA,NA,NA
"1104",131312,NA,NA,NA,NA,NA,NA,"2.7",NA
"1105",131313,NA,NA,NA,NA,NA,NA,NA,NA
"1106",131314,NA,NA,NA,NA,NA,NA,NA,NA
"1107",131315,NA,NA,NA,NA,NA,NA,NA,NA
"1108",131316,NA,NA,NA,NA,NA,NA,"2.8",NA
"1109",131317,NA,NA,NA,NA,NA,NA,NA,NA
"1110",131318,NA,NA,NA,NA,NA,NA,NA,NA
"1111",131319,NA,NA,NA,NA,NA,NA,"3.1",NA
"1112",131320,NA,NA,NA,NA,NA,NA,NA,NA
"1113",131321,NA,NA,NA,NA,NA,NA,NA,NA
"1114",131322,NA,NA,NA,NA,NA,NA,"3.1",NA
"1115",131323,NA,NA,NA,NA,NA,NA,"2.8",NA
"1116",131324,NA,NA,NA,NA,NA,NA,NA,NA
"1117",131325,NA,"1.182",NA,NA,NA,"1.139","3.5",NA
"1118",131326,NA,"0",NA,NA,NA,"1.053","2.6",NA
"1119",131327,NA,NA,NA,NA,NA,NA,"2.7",NA
"1120",131328,NA,NA,NA,NA,NA,"0.458","2.7",NA
"1121",140001,NA,"0",NA,NA,NA,"0.206","2.7","0.86"
"1122",140002,"0","0","0",NA,"0.991","0.565","4.4","1.00"
"1123",140007,"0.447","0.996","1.099","0","0.467","0.714","2.8","1.11"
"1124",140008,"0","0.184","1.285",NA,"1.732","1.137","2.7","0.88"
"1125",140010,"0.597","0.576","1.158","0","0.821","0.966","3.3","1.45"
"1126",140011,"0","0","0.937",NA,NA,"1.755","3.3","0.69"
"1127",140012,"0.876","0.733",NA,NA,NA,"2.204","3.7","0.93"
"1128",140013,"0","0",NA,NA,NA,"0.771","2.3","0.82"
"1129",140015,"0.364","0.397","1.467",NA,"0.859","0.817","2.5","1.04"
"1130",140018,"0.719","1.14","1.23","1.322","0.925","0.445",NA,"1.22"
"1131",140019,NA,NA,NA,NA,NA,"0",NA,"0.89"
"1132",140029,"0.767","0.092","0.909","0.383","0","0.554","3.7","1.04"
"1133",140030,"0.46","0.416","0.61",NA,"0","0.689","2.9","0.79"
"1134",140032,"0.409","0.15","1.787",NA,NA,"1.665","2.6","0.76"
"1135",140033,NA,NA,NA,NA,NA,NA,NA,"0.90"
"1136",140034,"0","0","0",NA,NA,"1.217","3.7","0.78"
"1137",140040,"0","0",NA,NA,NA,"0.92","2.8","0.88"
"1138",140043,"0","0.457","1.311",NA,NA,"0.641","2.2","0.69"
"1139",140046,"0.301","0.421","0","0.778","0","1.783","3.5","0.81"
"1140",140048,"0.322","0.5","0.407",NA,"1.216","1.365","2.9","1.01"
"1141",140049,"0.377","0.321","0.62",NA,"0","0.812","3.7","0.89"
"1142",140052,"0","0",NA,NA,NA,"0.585","3.7","0.84"
"1143",140053,"0.887","0.281","0","1.178","0.98","1.081","3.0","1.08"
"1144",140054,"0.929","0.418","0.629","0","0","0.855","3.3","0.92"
"1145",140058,NA,"0","0",NA,NA,"0.656","2.5","0.64"
"1146",140059,NA,NA,NA,NA,NA,"0",NA,"0.82"
"1147",140062,"0.934","0.621","0.885","0","0.408","0.932","2.8","0.94"
"1148",140063,"0","0","4.796",NA,NA,"1.6","4.0","0.74"
"1149",140064,NA,"0","0.718",NA,NA,"3.012","2.6","0.72"
"1150",140065,"0","0.567","0.999",NA,"2.111","1.103","2.6","0.92"
"1151",140067,"0.545","0.674","0.976","0","1.191","1.049","3.8","1.10"
"1152",140068,"5.085","0",NA,NA,NA,"0.556",NA,"0.82"
"1153",140077,NA,"0",NA,NA,NA,"0",NA,"0.92"
"1154",140080,"0.422","0.616","0.472",NA,"0.406","0.962","3.2","0.76"
"1155",140082,"1.467","0.261","1.659",NA,"1.246","1.361","6.0","1.13"
"1156",140083,"1.695","1.825",NA,NA,"0","0",NA,"0.84"
"1157",140084,"0.35","0.158","0",NA,"2.017","0.678","3.2","0.96"
"1158",140088,"0.33","0.531","0.814","1.479","0.997","1.251","3.9","0.96"
"1159",140089,NA,"0",NA,NA,NA,"0","3.5","0.80"
"1160",140091,"1.08","1.024","0.778","2.71","1.169","0.94","4.5","0.87"
"1161",140093,"0.463","0",NA,NA,NA,"0.748","2.7","0.79"
"1162",140095,"0","0.306",NA,NA,NA,"0.556",NA,"0.86"
"1163",140100,"0.522","0.73","4.094",NA,NA,"2.136",NA,"0.90"
"1164",140101,"0.369","0.43","0",NA,NA,"2.769","3.0","0.80"
"1165",140103,"0.726","0.366",NA,NA,"1.121","0.427",NA,"0.70"
"1166",140110,NA,NA,"0.956",NA,NA,"1.251","3.2","0.77"
"1167",140113,"0.279","0.398","1.958",NA,"0","0.91","3.1","0.79"
"1168",140114,"0.595","0.971","2.443",NA,"0.905","0.564","3.7","0.87"
"1169",140115,"0","0",NA,NA,NA,"0.937",NA,"0.82"
"1170",140116,"0.471","0.59","2.338",NA,"0","1.344","2.9","0.76"
"1171",140117,"0.075","0.442","0.468",NA,"0.883","0.684","2.8","0.63"
"1172",140118,"0","0.287","1.068",NA,"0","0.722","3.2","0.95"
"1173",140119,"0.381","0.591","1.162","1.4","0.655","1.046","3.2","0.66"
"1174",140120,"2.74","0",NA,NA,NA,"1.817","2.8","0.76"
"1175",140122,"0.152","0.19","0","0.405","0","0.834","2.4","0.79"
"1176",140124,"0.677","0.544","0.297","0.923","1.556","0.732",NA,"0.98"
"1177",140125,"0","0.28",NA,NA,NA,"0.277","2.2","0.92"
"1178",140127,"0","0.409","0","1.838","0","1.186","2.2","0.87"
"1179",140130,"0.576","1.31","1.427",NA,NA,"0.88","2.9","0.90"
"1180",140133,"1.149","0.78","0",NA,"0","0.709","3.4","1.04"
"1181",140135,"0.99","0.268","0.313","0","2.671","1.074","2.4","0.89"
"1182",140137,NA,NA,NA,NA,NA,NA,NA,"0.89"
"1183",140143,NA,NA,NA,NA,NA,"1.127","3.5","0.76"
"1184",140145,NA,NA,NA,NA,NA,"0.619",NA,"0.91"
"1185",140147,NA,"0.812",NA,NA,NA,"0.735",NA,"0.82"
"1186",140148,"0.691","0.682","1.41","1.155","0.653","1.095","2.5","0.92"
"1187",140150,"0.598","0.719","0.323","1.225","0.78","1.051","3.3","1.55"
"1188",140155,"0.396","0.084","0",NA,NA,"1.115","3.7","1.08"
"1189",140158,"0.697","1.345","2.911","1.89","0.498","1.193","3.0","1.35"
"1190",140160,"0","0","1.231",NA,NA,"1.601","2.8","1.01"
"1191",140161,NA,"0",NA,NA,NA,"0.496","3.3","0.92"
"1192",140162,"0.786","0","0.91",NA,"1.949","0.652","2.6","0.66"
"1193",140164,"0.247","0.075","0",NA,"1.884","0.875","3.2","0.92"
"1194",140166,"0","0","0",NA,"0.808","0.886","3.9","1.34"
"1195",140167,NA,NA,NA,NA,NA,NA,"2.9","1.02"
"1196",140172,"0.636","0.677","1.375",NA,"1.046","1.256","3.3","1.35"
"1197",140174,"0","0.583","2.071",NA,"0","0.606","3.1","0.85"
"1198",140176,"0.374","0.643","0",NA,NA,"1.04","3.5","0.73"
"1199",140177,"0","0",NA,NA,NA,"0",NA,"0.90"
"1200",140179,"1.39","0.656","1.79","0","0.871","1.141","3.8","0.95"
"1201",140180,"0","0.154","0.371",NA,"0.575","0.427","3.2","0.61"
"1202",140181,"0.789","0.927",NA,NA,"4.855","0.964",NA,"0.70"
"1203",140182,"0.649","0.823","1.231","0.345","0","0.67","3.9","1.13"
"1204",140184,"0","0.181",NA,NA,NA,"1.457","2.8","1.12"
"1205",140185,"0.667","0.342","0.449","0","1.021","1.221","3.8","0.70"
"1206",140186,"0.126","0.181","1.648",NA,"0.62","0.563","3.0","0.82"
"1207",140187,"0.633","1.269","1.655",NA,"0.971","0.74","3.5","0.97"
"1208",140189,"0.664","0.844","2.851",NA,"1.447","1.163","3.6","0.79"
"1209",140191,"0.305","0.35","1.169",NA,"0","0.656","2.9","0.79"
"1210",140197,NA,"0",NA,NA,NA,"0.074",NA,"0.78"
"1211",140200,"0.071","0.139","0",NA,"0","1.766","2.6","0.89"
"1212",140202,"0.7","0.14","0",NA,"1.954","1.323","2.6","0.66"
"1213",140206,"0.335","0",NA,NA,"0.966","0.747",NA,"0.96"
"1214",140208,"0.511","0.665","0.241","0.515","0.202","1.062","3.9","0.95"
"1215",140209,"0.57","0.32","0.699",NA,"1.288","0.821","2.2","0.75"
"1216",140210,NA,"0",NA,NA,NA,"0",NA,"0.80"
"1217",140211,"0.473","0.323","0.599",NA,"0","1.908","2.9","0.93"
"1218",140213,"0.613","0.056","0.549","1.124","1.022","0.769","3.7","0.63"
"1219",140217,"0","0",NA,NA,"1.707","0.894","2.8","0.99"
"1220",140223,"0.343","0.578","0.773","0.452","0.647","0.878","3.2","1.07"
"1221",140224,"0","0.122","0",NA,"0","0.913","3.4","1.09"
"1222",140228,"0.197","0.301","0.696","0.923","0.946","0.905","2.8","0.80"
"1223",140231,"0.51","1.002","1.713","1.356","0.356","1.064","4.0","1.35"
"1224",140233,"0.69","1.12","1.642","0.686","2.818","0.973","3.3","0.79"
"1225",140234,NA,"0",NA,NA,NA,"1.76","2.8","0.74"
"1226",140239,"0.763","0.387","1.96",NA,"0.321","1.035","3.2","0.87"
"1227",140240,"0.383","0.228",NA,NA,"0","1.058",NA,"0.83"
"1228",140242,"0.377","0.392","1.309","0.464","0","0.93","2.7","1.07"
"1229",140250,"0.397","0.373","1.005","0.584","0.987","1.771","3.4","0.58"
"1230",140251,"0.431","0.141","1.176",NA,"2.102","0.438","2.7","0.81"
"1231",140252,"0.406","0.56","0.84","2.632","0.772","1.134","2.6","0.93"
"1232",140258,"0","0.284","0.185",NA,"0","1.206","3.3","0.98"
"1233",140275,"0.625","0.987",NA,NA,NA,"0.928","3.3","1.10"
"1234",140276,"0.616","0.961","2.332","0.593","0.805","1.45","2.4","0.93"
"1235",140280,"0.518","0.366","0.906",NA,"0.341","0.97","2.9","0.87"
"1236",140281,"0.687","0.66","1.05","1.581","1.112","0.886","3.5","1.48"
"1237",140286,"0.202","0","0.883",NA,NA,"1.491","2.7","0.79"
"1238",140288,"0.258","0.171","1.858","1.914","0","1.278","3.4","1.11"
"1239",140289,"0.654","0.276","0.582",NA,NA,"0.848","3.0","0.86"
"1240",140290,"0.134","0.776","0.294","0.684","0","1.108","3.3","0.73"
"1241",140291,"0.246","0.293","0.449",NA,"0","1.279","2.5","0.65"
"1242",140292,"1.393","0.894",NA,NA,"0","0.364","3.6","0.80"
"1243",140294,NA,"0",NA,NA,NA,"0.548","2.6","0.86"
"1244",140300,NA,NA,NA,NA,NA,"0",NA,"0.96"
"1245",140304,"0.698","0.991","0",NA,"0.971","1.144","3.1","1.08"
"1246",141300,NA,NA,NA,NA,NA,NA,NA,NA
"1247",141301,NA,NA,NA,NA,NA,NA,NA,NA
"1248",141302,NA,NA,NA,NA,NA,NA,NA,NA
"1249",141303,NA,NA,NA,NA,NA,NA,NA,NA
"1250",141304,NA,NA,NA,NA,NA,NA,NA,NA
"1251",141305,NA,NA,NA,NA,NA,"0",NA,NA
"1252",141306,NA,NA,NA,NA,NA,NA,NA,NA
"1253",141307,NA,NA,NA,NA,NA,NA,NA,NA
"1254",141308,NA,NA,NA,NA,NA,NA,NA,NA
"1255",141309,NA,NA,NA,NA,NA,NA,NA,NA
"1256",141310,NA,NA,NA,NA,NA,NA,NA,NA
"1257",141311,NA,NA,NA,NA,NA,"0.62",NA,NA
"1258",141312,NA,NA,NA,NA,NA,NA,"3.3",NA
"1259",141313,NA,NA,NA,NA,NA,NA,NA,NA
"1260",141315,NA,NA,NA,NA,NA,NA,NA,NA
"1261",141316,NA,NA,NA,NA,NA,NA,NA,NA
"1262",141317,NA,NA,NA,NA,NA,"0.808","2.9",NA
"1263",141318,NA,NA,NA,NA,NA,"0.928",NA,NA
"1264",141319,NA,NA,NA,NA,NA,"1.12","3.4",NA
"1265",141320,NA,NA,NA,NA,NA,"0","3.4",NA
"1266",141321,NA,NA,NA,NA,NA,NA,NA,NA
"1267",141322,NA,"0",NA,NA,NA,"1.541","2.9",NA
"1268",141323,NA,NA,NA,NA,NA,NA,NA,NA
"1269",141324,NA,NA,NA,NA,NA,NA,NA,NA
"1270",141325,NA,NA,NA,NA,NA,"0.725",NA,NA
"1271",141326,NA,NA,NA,NA,NA,NA,NA,NA
"1272",141327,NA,NA,NA,NA,NA,"0","2.5",NA
"1273",141328,NA,NA,NA,NA,NA,NA,NA,NA
"1274",141329,NA,NA,NA,NA,NA,"0.619",NA,NA
"1275",141330,NA,NA,NA,NA,NA,NA,NA,NA
"1276",141331,NA,NA,NA,NA,NA,"1.925",NA,NA
"1277",141332,NA,NA,NA,NA,NA,NA,NA,NA
"1278",141333,NA,NA,NA,NA,NA,NA,NA,NA
"1279",141334,"0","0",NA,NA,NA,"2.374",NA,NA
"1280",141335,NA,NA,NA,NA,NA,NA,NA,NA
"1281",141336,"0","0",NA,NA,NA,"0.418","2.6",NA
"1282",141337,NA,NA,NA,NA,NA,"0",NA,NA
"1283",141338,NA,NA,NA,NA,NA,"0.587","2.7",NA
"1284",141339,NA,NA,NA,NA,NA,"0.836",NA,NA
"1285",141340,NA,NA,NA,NA,NA,"0.834",NA,NA
"1286",141341,NA,NA,NA,NA,NA,NA,NA,NA
"1287",141342,NA,"0",NA,NA,NA,"0",NA,NA
"1288",141343,NA,NA,NA,NA,NA,"2.696","3.7",NA
"1289",141344,NA,NA,NA,NA,NA,"0.743",NA,NA
"1290",141345,NA,NA,NA,NA,NA,NA,NA,NA
"1291",141346,NA,NA,NA,NA,NA,NA,NA,NA
"1292",141347,NA,NA,NA,NA,NA,"0",NA,NA
"1293",141348,NA,NA,NA,NA,NA,"0.702",NA,NA
"1294",141349,NA,NA,NA,NA,NA,"0.837",NA,NA
"1295",141350,NA,NA,NA,NA,NA,"0.442","2.7",NA
"1296",141351,NA,NA,NA,NA,NA,NA,NA,NA
"1297",143300,NA,NA,NA,NA,NA,NA,NA,NA
"1298",143301,NA,NA,NA,NA,NA,NA,NA,NA
"1299",143302,NA,NA,NA,NA,NA,NA,NA,NA
"1300",150001,NA,"0",NA,NA,NA,"0.402","2.9","0.73"
"1301",150002,"0.524","0.237","1.813",NA,"0.192","1.111","3.1","0.56"
"1302",150004,"0.819","0.475","2.075",NA,"0","1.595","3.0","0.93"
"1303",150005,"0","0.392","0.437",NA,"0","0.83","2.6","0.99"
"1304",150006,"1.128","0.339","0",NA,"0","0.934","3.5","0.72"
"1305",150007,"0.35","0","1.547",NA,"0.978","1.487","3.4","0.88"
"1306",150008,"0","0.408",NA,NA,"1.303","0.776","3.2","0.68"
"1307",150009,"0.534","0.5","0",NA,"0","2.428","2.8","0.97"
"1308",150010,"0","0.303","0.653",NA,"1.778","1.103","3.4","0.74"
"1309",150011,"0","1.591","1.695",NA,NA,"0.316","2.3","0.90"
"1310",150012,"0.44","0.372","0.776","0.841","0.683","0.601","2.0","0.81"
"1311",150015,"0.646","0.775","1.188",NA,"0.85","1.26","2.4","0.72"
"1312",150017,"0.642","0.888","1.101","1.489","0.517","0.813",NA,"1.17"
"1313",150018,"0.237","0.385","0.316",NA,"1.034","0.414","3.0","0.84"
"1314",150021,"0.212","0.517","1.783","0.639","0.56","0.714","2.4","0.91"
"1315",150022,NA,NA,NA,NA,NA,"0.464","4.5","0.91"
"1316",150023,"1.375","0.225","0.284","0","0.674","1.364","3.2","0.75"
"1317",150024,"1.222","0.813","2.169",NA,"2.131","0.635","3.6","1.01"
"1318",150026,"0.726","0.362","2.941",NA,NA,"1.178","3.4","0.80"
"1319",150030,NA,"0",NA,NA,NA,"1.063","2.7","0.84"
"1320",150034,"0.133","0.255","1.067",NA,"0.409","1.265","2.5","0.86"
"1321",150035,"0.348","0.262","0.282","0","0","1.018","2.4","0.71"
"1322",150037,NA,"1.689","0.626",NA,NA,"0.376","3.0","0.74"
"1323",150042,"0.637","0.569","2.129",NA,"0.888","1.472","2.8","0.86"
