"","Provider.ID","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score"
"61",10112,NA,"0",NA,NA,NA,"0.754",NA,"0.77"
"62",10113,"0.707","0.433","0.689","1.35","1.371","0.444","4.0","1.26"
"63",10114,"1.366","0.919","1.977",NA,"0","0.507","3.4","0.97"
"64",10118,"0.355","0.321","0",NA,NA,"1.227",NA,"0.59"
"65",10120,NA,"0",NA,NA,NA,"0",NA,"0.87"
"66",10125,NA,NA,NA,NA,NA,"0.282",NA,"0.89"
"67",10126,NA,"0",NA,NA,NA,"0.44","3.4","0.81"
"68",10128,NA,NA,NA,NA,NA,NA,NA,"0.89"
"69",10129,NA,"0.62",NA,NA,NA,"0.94",NA,"0.84"
"70",10130,"0","0",NA,NA,NA,"0.797",NA,"0.89"
"71",10131,"1.127","1.039","0.853","1.393","0","0.323","3.2","0.75"
"72",10138,NA,NA,NA,NA,NA,"0",NA,"0.90"
"73",10139,"0.72","0.204","1.194","0.456","1.059","0.4","3.6","0.94"
"74",10144,"0.753","1.131","1.342",NA,"1.342","0.423","3.0","1.24"
"75",10146,NA,NA,NA,NA,NA,"0",NA,"0.84"
"76",10148,NA,NA,NA,NA,NA,"0",NA,"0.96"
"77",10149,"0.865","0.092","0","0.487","0.487","0.867",NA,"0.62"
"78",10150,NA,NA,NA,NA,NA,"0","2.8","1.03"
"79",10157,"0","0.339","0.994",NA,NA,"1.019","3.1","0.78"
"80",10158,NA,"0",NA,NA,NA,"0","3.8","0.91"
"81",10164,"0","0","0",NA,NA,"0.515","4.1","1.08"
"82",10168,NA,NA,NA,NA,NA,"0","3.0","0.71"
"83",10169,NA,"0",NA,NA,NA,"0",NA,"0.82"
"84",11300,NA,NA,NA,NA,NA,"0",NA,NA
"85",11302,NA,NA,NA,NA,NA,"0.608",NA,NA
"86",11304,NA,NA,NA,NA,NA,NA,NA,NA
"87",11305,NA,NA,NA,NA,NA,"0.525",NA,NA
"88",13300,NA,NA,NA,NA,NA,NA,NA,NA
"89",13301,NA,NA,NA,NA,NA,NA,NA,NA
"90",20001,"0.529","0.761","1.355","0","1.605","0.733","3.8","1.06"
"91",20006,"0.246","0.17","2.356",NA,NA,"0.397","4.1","0.84"
"92",20008,NA,NA,NA,NA,NA,"0","3.2","0.86"
"93",20012,"0.541","0.261","2.51",NA,NA,"0.197","3.5","1.03"
"94",20017,"0.609","0.534","0",NA,NA,"1.669","3.3","1.01"
"95",20018,NA,NA,NA,NA,NA,NA,NA,"0.90"
"96",20024,"0.576","1.894",NA,NA,NA,"0.439","3.5","0.88"
"97",20026,"0.687","0.948","1.098",NA,"2.026","0.734","3.4","1.14"
"98",21301,NA,NA,NA,NA,NA,NA,NA,NA
"99",21302,NA,NA,NA,NA,NA,NA,NA,NA
"100",21303,NA,NA,NA,NA,NA,NA,NA,NA
"101",21304,NA,NA,NA,NA,NA,NA,NA,NA
